Id Linha Base,Timestamp,Horario,Fim de Semana,Sensor Comodo,Comodo,lig_desl_luz,lig_desl_aparelho,tempo_lig_luz,tempo_lig_aparelho,Id Atividade,Atividade
56,2019-05-27 3:51,03:51,False,15,Sala,0,0,0.0,0.0,6,Pres sala
56,2019-05-27 3:51,03:51,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
57,2019-05-27 3:54,03:54,False,18,Garagem,0,0,0.0,0,3,Entrada
57,2019-05-27 3:54,03:54,False,18,Garagem,0,0,0.0,0,4,Saida
57,2019-05-27 3:54,03:54,False,18,Garagem,0,0,0.0,0,16,Pres garagem
60,2019-05-27 11:03,11:03,False,16,Cozinha,0,0,0.0,0.0,5,Pres cozinha
60,2019-05-27 11:03,11:03,False,15,Sala,0,0,0.0,0.0,6,Pres sala
60,2019-05-27 11:03,11:03,False,17,Lavanderia,0,0,0.0,0.0,12,Pres lavanderia
60,2019-05-27 11:03,11:03,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
60,2019-05-27 11:03,11:03,False,22,Corredor,0,0,0.0,0,15,Pres corredor
61,2019-05-27 11:06,11:06,False,15,Sala,0,0,0.0,0.0,6,Pres sala
61,2019-05-27 11:06,11:06,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
62,2019-05-27 11:09,11:09,False,18,Garagem,0,0,0.0,0,3,Entrada
62,2019-05-27 11:09,11:09,False,18,Garagem,0,0,0.0,0,4,Saida
62,2019-05-27 11:09,11:09,False,17,Lavanderia,0,1,0.0,0.2,12,Pres lavanderia
62,2019-05-27 11:09,11:09,False,18,Garagem,0,0,0.0,0,16,Pres garagem
63,2019-05-27 11:12,11:12,False,16,Cozinha,2,1,0.5121951219512195,0.6585365853658537,5,Pres cozinha
63,2019-05-27 11:12,11:12,False,20,Quarto 2,0,0,1.0,0.0,13,Pres quarto 2
63,2019-05-27 11:12,11:12,False,22,Corredor,0,0,0.0,0,15,Pres corredor
64,2019-05-27 11:21,11:21,False,16,Cozinha,2,1,0.525,0.675,5,Pres cozinha
64,2019-05-27 11:21,11:21,False,15,Sala,0,0,0.0,0.0,6,Pres sala
64,2019-05-27 11:21,11:21,False,13,Banho,0,0,1.0,0,9,Banho aceso
64,2019-05-27 11:21,11:21,False,17,Lavanderia,0,1,0.0,0.3333333333333333,12,Pres lavanderia
64,2019-05-27 11:21,11:21,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
66,2019-05-27 11:27,11:27,False,15,Sala,0,0,0.0,0.0,6,Pres sala
68,2019-05-27 11:33,11:33,False,16,Cozinha,2,1,0.5833333333333334,0.75,5,Pres cozinha
68,2019-05-27 11:33,11:33,False,23,Quarto 3,0,0,0.0,0.0,14,Pres quarto 3
69,2019-05-27 11:36,11:36,False,20,Quarto 2,1,0,0.8,0.0,13,Pres quarto 2
69,2019-05-27 11:36,11:36,False,22,Corredor,0,0,0.0,0,15,Pres corredor
71,2019-05-27 11:42,11:42,False,15,Sala,0,0,0.0,0.0,6,Pres sala
72,2019-05-27 11:45,11:45,False,18,Garagem,0,0,0.0,0,3,Entrada
72,2019-05-27 11:45,11:45,False,18,Garagem,0,0,0.0,0,4,Saida
72,2019-05-27 11:45,11:45,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
72,2019-05-27 11:45,11:45,False,18,Garagem,0,0,0.0,0,16,Pres garagem
73,2019-05-27 11:54,11:54,False,16,Cozinha,2,1,0.6774193548387096,0.8709677419354839,5,Pres cozinha
73,2019-05-27 11:54,11:54,False,17,Lavanderia,0,0,0.0,1.0,11,Lavar roupa
