Id Linha Base,Timestamp,Sensor Comodo,Comodo,Id Atividade,Atividade
1,2019-04-14 13:28,16,Cozinha,5,Pres cozinha
1,2019-04-14 13:28,15,Sala,6,Pres sala
4,2019-04-14 13:34,16,Cozinha,5,Pres cozinha
4,2019-04-14 13:34,15,Sala,6,Pres sala
6,2019-04-14 13:44,16,Cozinha,5,Pres cozinha
6,2019-04-14 13:44,15,Sala,6,Pres sala
16,2019-04-14 14:05,16,Cozinha,5,Pres cozinha
16,2019-04-14 14:05,15,Sala,6,Pres sala
24,2019-04-14 14:21,16,Cozinha,5,Pres cozinha
24,2019-04-14 14:21,15,Sala,6,Pres sala
33,2019-04-14 14:40,15,Sala,6,Pres sala
34,2019-04-14 14:42,16,Cozinha,5,Pres cozinha
41,2019-04-14 14:57,15,Sala,6,Pres sala
46,2019-04-14 15:08,15,Sala,6,Pres sala
54,2019-04-14 15:33,15,Sala,6,Pres sala
58,2019-04-14 15:40,15,Sala,6,Pres sala
64,2019-04-14 15:52,15,Sala,6,Pres sala
66,2019-04-14 15:56,16,Cozinha,5,Pres cozinha
85,2019-04-14 16:51,16,Cozinha,5,Pres cozinha
89,2019-04-14 16:59,16,Cozinha,5,Pres cozinha
103,2019-04-14 17:29,16,Cozinha,5,Pres cozinha
117,2019-04-14 17:58,15,Sala,6,Pres sala
121,2019-04-14 18:06,15,Sala,6,Pres sala
127,2019-04-14 18:19,16,Cozinha,5,Pres cozinha
129,2019-04-14 18:23,15,Sala,6,Pres sala
133,2019-04-14 18:35,15,Sala,6,Pres sala
134,2019-04-14 18:44,16,Cozinha,5,Pres cozinha
134,2019-04-14 18:44,15,Sala,6,Pres sala
137,2019-04-14 18:50,16,Cozinha,5,Pres cozinha
139,2019-04-14 18:57,15,Sala,6,Pres sala
141,2019-04-14 19:01,16,Cozinha,5,Pres cozinha
146,2019-04-14 19:11,15,Sala,6,Pres sala
148,2019-04-14 19:16,16,Cozinha,5,Pres cozinha
154,2019-04-14 19:35,16,Cozinha,5,Pres cozinha
156,2019-04-14 19:39,15,Sala,6,Pres sala
157,2019-04-14 19:45,15,Sala,6,Pres sala
160,2019-04-14 19:51,15,Sala,6,Pres sala
172,2019-04-15 01:31,15,Sala,6,Pres sala
175,2019-04-15 01:37,16,Cozinha,5,Pres cozinha
178,2019-04-15 01:43,15,Sala,6,Pres sala
178,2019-04-15 01:43,15,Sala,8,Indo dormir
178,2019-04-15 01:43,22,Corredor,8,Indo dormir
181,2019-04-15 05:08,16,Cozinha,5,Pres cozinha
183,2019-04-15 05:14,15,Sala,6,Pres sala
187,2019-04-15 05:23,16,Cozinha,5,Pres cozinha
201,2019-04-15 05:55,16,Cozinha,5,Pres cozinha
224,2019-04-15 06:54,16,Cozinha,5,Pres cozinha
224,2019-04-15 06:54,15,Sala,6,Pres sala
231,2019-04-15 07:19,16,Cozinha,5,Pres cozinha
231,2019-04-15 07:19,15,Sala,6,Pres sala
234,2019-04-15 07:25,16,Cozinha,5,Pres cozinha
239,2019-04-15 07:36,15,Sala,6,Pres sala
249,2019-04-15 08:09,16,Cozinha,5,Pres cozinha
254,2019-04-15 08:19,16,Cozinha,5,Pres cozinha
254,2019-04-15 08:19,15,Sala,6,Pres sala
263,2019-04-15 08:40,16,Cozinha,5,Pres cozinha
263,2019-04-15 08:40,15,Sala,6,Pres sala
268,2019-04-15 08:54,16,Cozinha,5,Pres cozinha
268,2019-04-15 08:54,15,Sala,6,Pres sala
278,2019-04-15 09:15,15,Sala,6,Pres sala
280,2019-04-15 09:19,16,Cozinha,5,Pres cozinha
286,2019-04-15 09:31,15,Sala,6,Pres sala
290,2019-04-15 09:40,15,Sala,6,Pres sala
296,2019-04-15 09:59,15,Sala,6,Pres sala
302,2019-04-15 10:11,15,Sala,6,Pres sala
304,2019-04-15 10:15,15,Sala,6,Pres sala
305,2019-04-15 10:17,15,Sala,6,Pres sala
311,2019-04-15 10:30,15,Sala,6,Pres sala
313,2019-04-15 10:34,16,Cozinha,5,Pres cozinha
319,2019-04-15 10:46,15,Sala,6,Pres sala
321,2019-04-15 10:50,16,Cozinha,5,Pres cozinha
323,2019-04-15 10:54,16,Cozinha,5,Pres cozinha
323,2019-04-15 10:54,15,Sala,6,Pres sala
328,2019-04-15 11:05,16,Cozinha,5,Pres cozinha
331,2019-04-15 11:11,16,Cozinha,5,Pres cozinha
335,2019-04-15 11:20,15,Sala,6,Pres sala
339,2019-04-15 11:28,16,Cozinha,5,Pres cozinha
349,2019-04-15 11:55,15,Sala,6,Pres sala
352,2019-04-15 12:04,15,Sala,6,Pres sala
358,2019-04-15 12:16,15,Sala,6,Pres sala
363,2019-04-15 12:27,15,Sala,6,Pres sala
367,2019-04-15 12:45,16,Cozinha,5,Pres cozinha
367,2019-04-15 12:45,15,Sala,6,Pres sala
412,2019-04-15 14:35,16,Cozinha,5,Pres cozinha
412,2019-04-15 14:35,15,Sala,6,Pres sala
422,2019-04-15 14:55,16,Cozinha,5,Pres cozinha
430,2019-04-15 15:12,15,Sala,6,Pres sala
438,2019-04-15 15:30,15,Sala,6,Pres sala
479,2019-04-15 17:22,16,Cozinha,5,Pres cozinha
487,2019-04-15 17:38,16,Cozinha,5,Pres cozinha
504,2019-04-15 18:16,16,Cozinha,5,Pres cozinha
512,2019-04-15 18:47,16,Cozinha,5,Pres cozinha
514,2019-04-15 18:52,16,Cozinha,5,Pres cozinha
542,2019-04-15 19:56,16,Cozinha,5,Pres cozinha
574,2019-04-15 21:26,15,Sala,6,Pres sala
580,2019-04-15 21:43,15,Sala,6,Pres sala
587,2019-04-15 22:00,15,Sala,6,Pres sala
593,2019-04-15 22:15,15,Sala,6,Pres sala
598,2019-04-15 22:25,15,Sala,6,Pres sala
606,2019-04-15 22:41,15,Sala,6,Pres sala
614,2019-04-15 23:01,15,Sala,6,Pres sala
617,2019-04-15 23:14,15,Sala,6,Pres sala
621,2019-04-15 23:24,15,Sala,6,Pres sala
634,2019-04-15 23:59,15,Sala,6,Pres sala
637,2019-04-16 00:13,15,Sala,6,Pres sala
645,2019-04-16 00:32,16,Cozinha,5,Pres cozinha
645,2019-04-16 00:32,15,Sala,6,Pres sala
652,2019-04-16 00:49,16,Cozinha,5,Pres cozinha
652,2019-04-16 00:49,15,Sala,6,Pres sala
760,2019-04-20 22:19,16,Cozinha,5,Pres cozinha
761,2019-04-20 22:21,16,Cozinha,5,Pres cozinha
767,2019-04-20 22:39,16,Cozinha,5,Pres cozinha
772,2019-04-20 22:50,16,Cozinha,5,Pres cozinha
778,2019-04-20 23:09,16,Cozinha,5,Pres cozinha
779,2019-04-20 23:40,16,Cozinha,5,Pres cozinha
780,2019-04-20 23:42,16,Cozinha,5,Pres cozinha
783,2019-04-20 23:53,16,Cozinha,5,Pres cozinha
786,2019-04-21 00:05,16,Cozinha,5,Pres cozinha
790,2019-04-21 00:20,16,Cozinha,5,Pres cozinha
792,2019-04-21 00:36,16,Cozinha,5,Pres cozinha
794,2019-04-21 00:42,16,Cozinha,5,Pres cozinha
796,2019-04-21 00:51,16,Cozinha,5,Pres cozinha
799,2019-04-21 01:04,16,Cozinha,5,Pres cozinha
799,2019-04-21 01:04,15,Sala,8,Indo dormir
799,2019-04-21 01:04,16,Cozinha,8,Indo dormir
803,2019-04-21 01:16,16,Cozinha,5,Pres cozinha
803,2019-04-21 01:16,15,Sala,8,Indo dormir
803,2019-04-21 01:16,16,Cozinha,8,Indo dormir
825,2019-04-21 02:45,16,Cozinha,5,Pres cozinha
860,2019-04-21 05:06,16,Cozinha,5,Pres cozinha
862,2019-04-21 05:12,16,Cozinha,5,Pres cozinha
862,2019-04-21 05:12,15,Sala,6,Pres sala
864,2019-04-21 05:21,16,Cozinha,5,Pres cozinha
866,2019-04-21 05:28,15,Sala,6,Pres sala
867,2019-04-21 05:46,16,Cozinha,5,Pres cozinha
867,2019-04-21 05:46,15,Sala,6,Pres sala
868,2019-04-21 05:49,16,Cozinha,5,Pres cozinha
868,2019-04-21 05:49,15,Sala,6,Pres sala
929,2019-04-21 09:31,16,Cozinha,5,Pres cozinha
929,2019-04-21 09:31,15,Sala,6,Pres sala
931,2019-04-21 09:40,16,Cozinha,5,Pres cozinha
931,2019-04-21 09:40,15,Sala,6,Pres sala
935,2019-04-21 09:56,15,Sala,6,Pres sala
943,2019-04-21 10:30,15,Sala,6,Pres sala
946,2019-04-21 10:46,15,Sala,6,Pres sala
949,2019-04-21 10:58,15,Sala,6,Pres sala
953,2019-04-21 11:29,15,Sala,6,Pres sala
954,2019-04-21 11:36,16,Cozinha,5,Pres cozinha
954,2019-04-21 11:36,15,Sala,6,Pres sala
958,2019-04-21 11:48,16,Cozinha,5,Pres cozinha
958,2019-04-21 11:48,15,Sala,6,Pres sala
959,2019-04-21 11:54,16,Cozinha,5,Pres cozinha
959,2019-04-21 11:54,15,Sala,6,Pres sala
1025,2019-04-21 15:33,16,Cozinha,5,Pres cozinha
1025,2019-04-21 15:33,15,Sala,6,Pres sala
1031,2019-04-21 15:51,16,Cozinha,5,Pres cozinha
1060,2019-04-21 17:34,16,Cozinha,5,Pres cozinha
1065,2019-04-21 17:57,16,Cozinha,5,Pres cozinha
1090,2019-04-21 19:18,16,Cozinha,5,Pres cozinha
1093,2019-04-21 19:31,16,Cozinha,5,Pres cozinha
1106,2019-04-21 20:15,15,Sala,6,Pres sala
1110,2019-04-21 20:31,15,Sala,6,Pres sala
1111,2019-04-21 20:37,15,Sala,6,Pres sala
1112,2019-04-21 20:40,16,Cozinha,5,Pres cozinha
1115,2019-04-21 20:50,15,Sala,6,Pres sala
1116,2019-04-21 20:53,16,Cozinha,5,Pres cozinha
1117,2019-04-21 21:02,15,Sala,6,Pres sala
1120,2019-04-21 21:12,15,Sala,6,Pres sala
1124,2019-04-21 21:27,15,Sala,6,Pres sala
1128,2019-04-21 21:43,15,Sala,6,Pres sala
1133,2019-04-21 21:59,16,Cozinha,5,Pres cozinha
1139,2019-04-21 22:17,16,Cozinha,5,Pres cozinha
1143,2019-04-21 22:48,16,Cozinha,5,Pres cozinha
