Sensor,Timestamp
pres_corredor,"""2019-04-14 15:52"""
tv_cozinha OFF,"""2019-04-14 15:52"""
pres_cozinha,"""2019-04-14 15:54"""
tv_sala ON,"""2019-04-14 15:54"""
pres_cozinha,"""2019-04-14 15:56"""
pres_sala,"""2019-04-14 15:58"""
pres_cozinha,"""2019-04-14 15:58"""
pres_sala,"""2019-04-14 16:01"""
pres_cozinha,"""2019-04-14 16:01"""
pres_sala,"""2019-04-14 16:03"""
pres_cozinha,"""2019-04-14 16:03"""
pres_sala,"""2019-04-14 16:11"""
pres_sala,"""2019-04-14 16:13"""
pres_sala,"""2019-04-14 16:15"""
pres_sala,"""2019-04-14 16:17"""
pres_sala,"""2019-04-14 16:19"""
pres_sala,"""2019-04-14 16:21"""
pres_sala,"""2019-04-14 16:23"""
luz_cozinha OFF,"""2019-04-14 16:26"""
pres_sala,"""2019-04-14 16:26"""
pres_sala,"""2019-04-14 16:28"""
pres_garagem,"""2019-04-14 16:28"""
pres_sala,"""2019-04-14 16:30"""
pres_sala,"""2019-04-14 16:32"""
pres_sala,"""2019-04-14 16:34"""
pres_garagem,"""2019-04-14 16:34"""
luz_sala ON,"""2019-04-14 16:36"""
pres_sala,"""2019-04-14 16:36"""
pres_sala,"""2019-04-14 16:38"""
pres_sala,"""2019-04-14 16:40"""
pres_cozinha,"""2019-04-14 16:40"""
luz_escada OFF,"""2019-04-14 16:51"""
pres_sala,"""2019-04-14 16:51"""
pres_cozinha,"""2019-04-14 16:51"""
lavanderia_som OFF,"""2019-04-14 16:51"""
pres_sala,"""2019-04-14 16:53"""
pres_cozinha,"""2019-04-14 16:53"""
pres_lavanderia,"""2019-04-14 16:53"""
pres_sala,"""2019-04-14 16:55"""
pres_cozinha,"""2019-04-14 16:55"""
pres_lavanderia,"""2019-04-14 16:55"""
pres_cobertura,"""2019-04-14 16:55"""
pres_corredor,"""2019-04-14 16:55"""
luz_banho ON,"""2019-04-14 16:57"""
pres_cozinha,"""2019-04-14 16:57"""
pres_lavanderia,"""2019-04-14 16:57"""
pres_cobertura,"""2019-04-14 16:57"""
pres_corredor,"""2019-04-14 16:57"""
pres_cozinha,"""2019-04-14 16:59"""
pres_lavanderia,"""2019-04-14 16:59"""
pres_quarto2,"""2019-04-14 16:59"""
pres_cobertura,"""2019-04-14 16:59"""
pres_corredor,"""2019-04-14 16:59"""
luz_banho OFF,"""2019-04-14 17:01"""
pres_sala,"""2019-04-14 17:01"""
pres_cozinha,"""2019-04-14 17:01"""
pres_corredor,"""2019-04-14 17:01"""
pres_sala,"""2019-04-14 17:03"""
pres_cozinha,"""2019-04-14 17:03"""
pres_sala,"""2019-04-14 17:06"""
pres_cozinha,"""2019-04-14 17:06"""
pres_garagem,"""2019-04-14 17:06"""
pres_sala,"""2019-04-14 17:08"""
pres_cozinha,"""2019-04-14 17:08"""
pres_lavanderia,"""2019-04-14 17:08"""
pres_sala,"""2019-04-14 17:10"""
pres_cozinha,"""2019-04-14 17:10"""
pres_lavanderia,"""2019-04-14 17:10"""
pres_sala,"""2019-04-14 17:12"""
pres_cozinha,"""2019-04-14 17:12"""
pres_lavanderia,"""2019-04-14 17:12"""
pres_cobertura,"""2019-04-14 17:12"""
pres_corredor,"""2019-04-14 17:12"""
luz_banho ON,"""2019-04-14 17:14"""
pres_garagem,"""2019-04-14 17:18"""
pres_corredor,"""2019-04-14 17:24"""
pres_sala,"""2019-04-14 17:26"""
pres_cozinha,"""2019-04-14 17:26"""
pres_quarto2,"""2019-04-14 17:26"""
pres_cobertura,"""2019-04-14 17:26"""
pres_corredor,"""2019-04-14 17:26"""
pres_quarto3,"""2019-04-14 17:26"""
luz_corredor ON,"""2019-04-14 17:29"""
luz_banho OFF,"""2019-04-14 17:29"""
pres_quarto3,"""2019-04-14 17:29"""
pres_sala,"""2019-04-14 17:31"""
pres_cozinha,"""2019-04-14 17:31"""
pres_lavanderia,"""2019-04-14 17:31"""
pres_quarto3,"""2019-04-14 17:31"""
pres_sala,"""2019-04-14 17:33"""
pres_cozinha,"""2019-04-14 17:33"""
pres_lavanderia,"""2019-04-14 17:33"""
pres_garagem,"""2019-04-14 17:33"""
pres_quarto3,"""2019-04-14 17:33"""
tv_sala OFF,"""2019-04-14 17:33"""
luz_garagem ON,"""2019-04-14 17:35"""
pres_garagem,"""2019-04-14 17:35"""
pres_sala,"""2019-04-14 17:37"""
pres_garagem,"""2019-04-14 17:37"""
pres_sala,"""2019-04-14 17:39"""
pres_garagem,"""2019-04-14 17:39"""
