Id Linha Base,Timestamp,Sensor Comodo,Comodo,Id Atividade,Atividade
71,2019-05-27 11:42,15,Sala,6,Pres sala
72,2019-05-27 11:45,17,Lavanderia,11,Lavar roupa
72,2019-05-27 11:45,18,Garagem,3,Entrada
72,2019-05-27 11:45,18,Garagem,4,Saida
72,2019-05-27 11:45,18,Garagem,16,Pres garagem
73,2019-05-27 11:54,16,Cozinha,5,Pres cozinha
73,2019-05-27 11:54,17,Lavanderia,11,Lavar roupa
73,2019-05-27 11:54,20,Quarto 2,13,Pres quarto 2
73,2019-05-27 11:54,23,Quarto 3,14,Pres quarto 3
74,2019-05-27 11:57,15,Sala,6,Pres sala
74,2019-05-27 11:57,22,Corredor,15,Pres corredor
76,2019-05-27 12:04,15,Sala,6,Pres sala
76,2019-05-27 12:04,16,Cozinha,5,Pres cozinha
76,2019-05-27 12:04,17,Lavanderia,11,Lavar roupa
76,2019-05-27 12:04,18,Garagem,3,Entrada
76,2019-05-27 12:04,18,Garagem,4,Saida
76,2019-05-27 12:04,18,Garagem,16,Pres garagem
76,2019-05-27 12:04,23,Quarto 3,14,Pres quarto 3
78,2019-05-27 12:10,15,Sala,6,Pres sala
78,2019-05-27 12:10,17,Lavanderia,11,Lavar roupa
78,2019-05-27 12:10,18,Garagem,3,Entrada
78,2019-05-27 12:10,18,Garagem,4,Saida
78,2019-05-27 12:10,18,Garagem,16,Pres garagem
78,2019-05-27 12:10,20,Quarto 2,13,Pres quarto 2
81,2019-05-27 12:19,22,Corredor,15,Pres corredor
81,2019-05-27 12:19,23,Quarto 3,14,Pres quarto 3
82,2019-05-27 12:22,16,Cozinha,10,Cozinhar
83,2019-05-27 12:28,15,Sala,6,Pres sala
83,2019-05-27 12:28,16,Cozinha,10,Cozinhar
83,2019-05-27 12:28,18,Garagem,3,Entrada
83,2019-05-27 12:28,18,Garagem,4,Saida
83,2019-05-27 12:28,18,Garagem,16,Pres garagem
83,2019-05-27 12:28,22,Corredor,15,Pres corredor
83,2019-05-27 12:28,23,Quarto 3,14,Pres quarto 3
85,2019-05-27 12:35,15,Sala,6,Pres sala
85,2019-05-27 12:35,17,Lavanderia,11,Lavar roupa
85,2019-05-27 12:35,18,Garagem,3,Entrada
85,2019-05-27 12:35,18,Garagem,4,Saida
85,2019-05-27 12:35,18,Garagem,16,Pres garagem
87,2019-05-27 12:44,15,Sala,6,Pres sala
87,2019-05-27 12:44,16,Cozinha,10,Cozinhar
87,2019-05-27 12:44,23,Quarto 3,14,Pres quarto 3
89,2019-05-27 12:53,15,Sala,6,Pres sala
89,2019-05-27 12:53,16,Cozinha,10,Cozinhar
89,2019-05-27 12:53,22,Corredor,15,Pres corredor
89,2019-05-27 12:53,23,Quarto 3,14,Pres quarto 3
90,2019-05-27 12:57,17,Lavanderia,11,Lavar roupa
92,2019-05-27 13:03,18,Garagem,3,Entrada
92,2019-05-27 13:03,18,Garagem,4,Saida
92,2019-05-27 13:03,18,Garagem,16,Pres garagem
93,2019-05-27 13:06,16,Cozinha,10,Cozinhar
93,2019-05-27 13:06,23,Quarto 3,14,Pres quarto 3
94,2019-05-27 13:09,15,Sala,6,Pres sala
95,2019-05-27 13:12,18,Garagem,3,Entrada
95,2019-05-27 13:12,18,Garagem,4,Saida
95,2019-05-27 13:12,18,Garagem,16,Pres garagem
98,2019-05-27 13:22,16,Cozinha,10,Cozinhar
98,2019-05-27 13:22,17,Lavanderia,12,Pres lavanderia
98,2019-05-27 13:22,18,Garagem,3,Entrada
98,2019-05-27 13:22,18,Garagem,4,Saida
98,2019-05-27 13:22,18,Garagem,16,Pres garagem
98,2019-05-27 13:22,23,Quarto 3,14,Pres quarto 3
100,2019-05-27 13:28,18,Garagem,3,Entrada
100,2019-05-27 13:28,18,Garagem,4,Saida
100,2019-05-27 13:28,18,Garagem,16,Pres garagem
102,2019-05-27 13:37,16,Cozinha,10,Cozinhar
102,2019-05-27 13:37,17,Lavanderia,12,Pres lavanderia
102,2019-05-27 13:37,18,Garagem,3,Entrada
102,2019-05-27 13:37,18,Garagem,4,Saida
102,2019-05-27 13:37,18,Garagem,16,Pres garagem
103,2019-05-27 13:41,15,Sala,6,Pres sala
105,2019-05-27 13:47,17,Lavanderia,12,Pres lavanderia
106,2019-05-27 13:50,15,Sala,6,Pres sala
106,2019-05-27 13:50,16,Cozinha,10,Cozinhar
109,2019-05-27 14:03,15,Sala,6,Pres sala
109,2019-05-27 14:03,16,Cozinha,5,Pres cozinha
109,2019-05-27 14:03,17,Lavanderia,12,Pres lavanderia
110,2019-05-27 14:09,16,Cozinha,5,Pres cozinha
